62,62000001,3.8,6.75,2.4,,,,4.5,6.75,6.75
62,62000002,,7.5,,,,,10.0,8.75,
62,62000003,7.2,7.5,4.8,,,,9.0,8.75,8.5
62,62000004,,5.25,,,,,4.5,5.25,
62,62000005,8.6,6.25,4.6,6.75,8.75,6.0,,,
62,62000006,3.6,7.0,3.8,,,,8.0,6.25,7.75
62,62000007,6.6,6.0,1.8,,,,6.0,7.5,8.5
62,62000008,7.8,7.75,5.4,,,,6.5,6.25,8.0
62,62000009,8.0,6.0,6.0,7.0,7.25,4.25,,,
62,62000010,6.8,8.25,5.2,,,,9.0,8.5,9.25
62,62000011,,6.5,,,,,7.5,7.5,
62,62000012,5.4,5.5,2.0,,,,4.25,5.75,7.25
62,62000013,7.0,8.0,7.2,,,,8.0,7.0,8.5
62,62000014,6.4,6.25,4.8,,,,6.25,6.75,7.0
62,62000015,5.4,6.75,7.4,,,,5.0,7.25,8.0
62,62000016,7.0,6.5,2.6,,,,7.0,5.5,7.75
62,62000017,7.2,7.0,5.6,5.0,4.25,4.75,,,
62,62000018,7.4,7.5,8.4,,,,7.5,6.5,9.0
62,62000019,4.8,8.0,6.8,,,,8.75,8.75,7.75
62,62000020,5.0,6.5,4.6,,,,7.75,7.0,7.0
62,62000021,,6.25,,,,,9.25,7.75,
62,62000022,1.4,8.5,2.4,,,,9.5,9.25,7.75
62,62000023,5.6,7.25,4.4,,,,8.25,7.5,9.5
62,62000024,2.2,3.5,5.6,,,,4.0,4.75,7.0
62,62000025,4.4,5.25,2.0,,,,6.5,6.0,6.25
62,62000026,4.0,5.0,4.4,,,,8.25,8.0,8.75
62,62000027,7.4,6.75,5.0,6.75,6.5,3.75,,,
62,62000028,4.4,6.0,5.0,,,,3.5,5.0,7.75
62,62000029,7.6,9.25,5.2,,,,9.0,8.75,9.25
62,62000030,6.4,7.25,2.6,,,,3.75,6.0,7.5
62,62000031,5.6,7.25,2.8,,,,6.25,7.0,8.0
62,62000032,4.4,5.0,3.0,,,,6.0,6.0,8.0
62,62000033,4.2,6.5,2.6,,,,5.25,6.0,7.5
62,62000034,7.2,5.5,3.2,,,,7.25,8.75,7.75
62,62000035,8.4,5.5,4.6,7.75,8.75,3.75,,,
62,62000036,5.8,5.25,4.4,5.25,6.25,4.25,,,
62,62000037,3.6,5.5,3.0,,,,3.5,5.75,5.75
62,62000038,4.4,5.75,2.6,,,,6.25,5.75,7.75
62,62000039,7.4,8.75,6.6,,,,9.25,8.75,9.5
62,62000040,5.2,7.0,3.8,,,,7.75,6.0,8.25
62,62000041,6.2,6.75,3.2,5.5,5.75,3.0,,,
62,62000042,3.0,7.0,3.0,,,,4.0,7.0,7.25
62,62000043,7.4,6.25,4.4,5.75,6.25,3.25,,,
62,62000044,8.4,6.0,4.2,7.25,6.75,3.25,,,
62,62000045,7.2,8.25,6.8,,,,5.5,7.0,8.25
62,62000046,7.8,6.5,3.8,5.25,7.5,7.25,,,
62,62000047,3.4,5.75,8.4,,,,7.75,6.25,7.25
62,62000048,3.6,5.5,1.8,,,,4.0,4.75,4.75
62,62000049,8.0,8.0,6.2,,,,9.5,7.75,8.0
62,62000050,6.4,7.5,7.2,,,,9.0,7.75,8.0
62,62000051,8.6,,,6.25,6.5,,,,
62,62000052,7.8,8.5,,,,,8.75,,
62,62000053,7.8,7.5,4.4,4.75,6.0,5.5,,,
62,62000054,,6.75,,,,,6.5,7.5,
62,62000055,4.4,5.75,,,,,5.25,,
62,62000056,6.2,7.75,4.2,,,,9.25,7.0,7.5
62,62000057,6.2,7.0,6.0,4.5,6.75,6.25,,,
62,62000058,7.0,7.25,4.4,,,,7.5,7.0,8.5
62,62000059,6.2,7.5,2.6,,,,7.5,6.5,7.25
